,Unnamed: 0,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
0,第一名,IG火紅冰品，來自日本的膠原蛋白牛奶冰，吸睛又美味．大とろ牛乳Ootoromilk (台北店),Ootoro Milk 台北分舖,4.5,大安區,2019/05/12,1585,158,6,1,1
1,第二名,終於吃到必吃九宮格！搬到市區超方便！人氣依舊滿滿超好拍「吾獨食驗室」（菜單）,吾獨食驗室 woodoofoodlab(東區總店),4.4,大安區,2019/05/14,2421,131,5,1,1
2,第三名,IKEA新店店｜玻璃屋景觀餐廳、IKEA CAFÉ、挑高設計商場、與捷運相連，新店最美的IKEA誕生！,宜家國際室內裝修有限公司,4.3,新店區,2019/05/11,2140,44,5,1,1
3,第四名,"雞窩餐廳-人少也能吃驥園砂鍋土雞湯,台北信義安和站中式聚餐推薦",雞窩餐廳,4.2,大安區,2019/05/15,875,85,2,35,13
4,第五名,爆漿芋泥肉鬆起酥麵包，超ㄉㄨㄞ的芋頭水晶蛋糕，厚實的芋泥餡難以招架．土司吐司烘焙坊,ToasToast 土司吐司,3.9,中正區,2019/05/16,1543,78,6,103,11
5,第六名,金澤咖哩不用飛到北陸也吃的到，日本人開的咖哩專賣店，三重私房美食又添一．No.1咖哩,金澤咖哩,4.1,三重區,2019/05/13,1377,78,2,1,1
6,第七名,泰蝦PA水道泰國蝦吃到飽/蝦控必訪水道流水泰國蝦無限吃到飽餐廳,流水蝦-泰蝦PA水道泰國蝦吃到飽,4.3,林口區,2019/05/13,1292,54,4,6,3
7,第八名,台北Sweet Josun 誠品南西店｜一個人的韓式炸雞這裡吃(韓國品牌炸雞速食店),SWEET JOSUN-誠品南西店,3,中山區,2019/05/14,1176,79,2,3,2
8,第九名,食鮮日式火鍋 399元吃到飽還免服務費! 現做手卷、肉品，還有隱藏特製味噌魚頭湯,食鮮日式火鍋,3.2,中山區,2019/05/12,856,64,2,12,7
9,第十名,起司控與芋泥控都可以！早餐店的手工蛋餅，中正紀念堂附近早餐店～早澤,早澤,4,中正區,2019/05/12,1137,77,0,37,18
10,第十一名,雷記燒臘，七寶飯超浮誇、招牌飯最受歡迎,雷記燒臘餐廳,3.9,信義區,2019/05/12,1590,46,4,1,1
11,第十二名,藏在二樓，連在地人都不知道的好吃咖哩和紅酒牛肋飯！大推薦～再訪度百分之百！小說食堂重新店(雙爸私廚),雙爸私廚,4.1,三重區,2019/05/15,1131,55,3,16,6
12,第十三名,在地人才知道的好吃手工蛋餅，半熟蛋蛋餅是隱藏版點法．百屯豆漿,百屯豆漿,4.4,三重區,2019/05/17,1774,54,7,6,2
13,第十四名,老椰兄新泰式料理│大直ATT泰好吃，南洋泰式新風味！ 大直att美食、大直att餐廳,老椰兄新泰式料理,5,中山區,2019/05/11,800,46,2,1,1
14,第十五名,天母小吃｜好食在．超實在的麵店手工蘿蔔糕更是不能錯過,好食在,4.4,士林區,2019/05/15,811,61,3,2,2
15,第十六名,綻1852 牛排館，牛排龍蝦專門店 (前雅室牛排主廚) (文末菜單),綻1852 牛排館,4.7,中山區,2019/05/11,838,56,4,11,7
16,第十七名,台北美食 Kachi泡芙-逢甲夜市排隊美食來台北快閃！就在SOGO忠孝館！,Kachi泡芙,3.9,大安區,2019/05/15,786,44,2,13,4
17,第十八名,竹林雞肉＿肉質軟嫩雞皮Q彈，配上雞油飯簡直銷魂＿辣拌麵意外討喜,竹林雞肉,4,永和區,2019/05/11,858,49,2,11,4
18,第十九名,Engolili 英格莉莉。全新英式華麗下午茶，鳥籠三層架、狂野豹紋厚鬆餅，近期最狂網美打卡地標！,Engolili 英格莉莉,3.9,中山區,2019/05/14,490,53,0,4,4
19,第二十名,蘭芳麵食館_這小麵夠勁！香麻辣味皆俱全|蘭芳滷菜攤 / 遼寧夜市必吃美食 / 中山好吃麵食『台北中山 · 南京復興捷運』,蘭芳麵食館,4.2,中山區,2019/05/17,1140,50,4,65,29
