,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,大阪爆紅的生吐司在台灣也吃得到囉！超濕潤的口感，吐司邊毫無存在感．Share le Pain 微酵烘焙,IG火紅冰品，來自日本的膠原蛋白牛奶冰，吸睛又美味．大とろ牛乳Ootoromilk (台北店),終於吃到必吃九宮格！搬到市區超方便！人氣依舊滿滿超好拍「吾獨食驗室」（菜單）,台北中山:美天餐室 90年代舊香港茶餐廳，聽劉德華吃西多士、金山醬烤雞腿，再喝杯鴛鴦絲襪奶茶,王品集團最新品牌！懷舊料理說歷史，經典台菜大集合！丰禾日麗台式小館,小巷內的懷舊日本味，老爺爺的溫馨大阪燒！紅葉日式愛好燒,浮誇又霸氣的料理/超平價無菜單竟然有鮮甜海膽 「東街日本料理」南京復興站/高cp值無菜單料理/生魚片/牛小排/石斑/比目魚/大明蝦/附菜單,IKEA新店店｜玻璃屋景觀餐廳、IKEA CAFÉ、挑高設計商場、與捷運相連，新店最美的IKEA誕生！,台北信義市府美食:HI5 Cafe好吃夏威夷蝦飯、家常料理，不限時咖啡館、推薦聊天聚餐開會,好食多涮涮屋南西店新開幕，超大肉盤始祖、開幕優惠活龍蝦一隻僅 $300超划算😍 (文末菜單),"雞窩餐廳-人少也能吃驥園砂鍋土雞湯,台北信義安和站中式聚餐推薦",西門麵店．捷運西門町站｜西門町網紅麵店．蛋包滷肉飯大推．極脆涼麵檸檬香！,BFF Gossip Brunch-台北公館網美最愛餐廳，姊妹聚會最佳選擇,川畝園麵食館 平價好吃選擇多！推薦炒飯、牛肉捲餅、小籠湯包,胖肚肚平價燒烤吃到飽，肋眼、天使紅蝦是哪招？,爆漿芋泥肉鬆起酥麵包，超ㄉㄨㄞ的芋頭水晶蛋糕，厚實的芋泥餡難以招架．土司吐司烘焙坊,道地日本濃厚味三上咖哩超人氣咖哩飯炸雞啤酒日等你來挑戰,冠捷黃金脆皮肉圓│饒河夜市少人知道的脆皮肉圓，吃脆皮肉圓不用跑彰化啦！ 饒河夜市美食、台北脆皮肉圓,"啾哇嘿喲 좋아해요 ｜來自韓文""喜歡你""｜忠孝復興韓式烤肉推薦、超狂韓式烤肉吃到飽，台北必吃韓國料理!",台北Sweet Josun 誠品南西店｜一個人的韓式炸雞這裡吃(韓國品牌炸雞速食店)
餐廳名稱,Share le Pain微酵烘焙 忠孝復興店,Ootoro Milk 台北分舖,吾獨食驗室 woodoofoodlab(東區總店),美天餐室 DAY DAY,丰禾日麗 台北南京東店,紅葉日式愛好燒,東街日本料理,宜家國際室內裝修有限公司,Hi5 Cafe,好食多涮涮屋 南西店,雞窩餐廳,西門麵店,#BFF Gossip Brunch 早午餐,川畝園麵食館,胖肚肚燒肉吃到飽,ToasToast 土司吐司,三上咖哩,冠捷黃金脆皮肉圓,啾哇嘿喲 韓式烤肉專門店,SWEET JOSUN-誠品南西店
評級,3.5,4.5,4.4,4.6,4.7,4.2,4.2,無紀錄,4.5,5,4.2,4,4.1,4.2,4.4,3.9,4.3,4.1,4,3
美食所在區域,大安區,大安區,大安區,中山區,中山區,中正區,中山區,新店區,信義區,中山區,大安區,萬華區,中正區,大同區,松山區,中正區,大安區,松山區,松山區,中山區
產生日期,2019/05/20,2019/05/12,2019/05/14,2019/05/20,2019/05/01,2019/05/07,2019/05/03,2019/05/11,2019/05/04,2019/05/22,2019/05/15,2019/05/07,2019/05/01,2019/05/09,2019/05/09,2019/05/16,2019/05/07,2019/05/06,2019/05/06,2019/05/14
觀看人數,3879,2772,4240,2706,3248,3092,2541,2889,2199,1702,1624,1891,1913,2310,2258,2418,1707,1714,1505,1898
收藏人數,223,254,220,250,166,196,151,59,154,107,139,154,142,134,115,126,137,135,95,125
推薦人數,5,10,7,4,9,11,11,8,3,7,5,2,7,8,6,7,4,4,2,3
多少人來過,4人來過,1人來過,1人來過,2人來過,13人來過,31人來過,29人來過,1人來過,3人來過,3人來過,35人來過,40人來過,6人來過,6人來過,14人來過,103人來過,22人來過,5人來過,55人來過,3人來過
多少篇食記,3篇食記,1篇食記,1篇食記,2篇食記,8篇食記,12篇食記,22篇食記,1篇食記,2篇食記,3篇食記,13篇食記,23篇食記,4篇食記,3篇食記,5篇食記,11篇食記,19篇食記,3篇食記,34篇食記,2篇食記
